"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1928432522670809579","Fri May 30 23:59:49 +0000 2025","0","@August_9 @kumparan @kemendagri Untuk apa dicancel? Banyak anak terbantukan dengan adanya program Lanjutkan MBG ini","1928602278316875913","","August_9","in","","0","0","0","https://x.com/undefined/status/1928602278316875913","1896992749507018753",
"1928310864685470145","Fri May 30 23:58:12 +0000 2025","0","@MemeComicIndo miskin mah kasih kerjaan. bukan MBG. biar mereka maju dan naikin taraf hidup. ngapain ngasih makan sehari sekali tapi mereka tetap miskin? cara mikirnya gimana deh?","1928601872295985298","","MemeComicIndo","in","","1","8","0","https://x.com/undefined/status/1928601872295985298","1304592557406470144",
"1928021669701919214","Fri May 30 23:58:11 +0000 2025","0","@MasPe_22 Jadi makin semangat terlibat di MBG karena dukungan langsung dari Presiden Prabowo terasa banget dampaknya","1928601869011791978","","MasPe_22","in","","0","0","0","https://x.com/undefined/status/1928601869011791978","1702610934781685760",
"1928588604466426194","Fri May 30 23:57:36 +0000 2025","0","@Glycine_Sja Masih menunggu karena banyak sekolah di Indonesia semoga bisa secepatnya disekolah adiknya MBG hadir. Lanjutkan MBG","1928601721753800876","","Glycine_Sja","in","","0","1","0","https://x.com/undefined/status/1928601721753800876","1896992749507018753",
"1928356022952821115","Fri May 30 23:56:09 +0000 2025","0","@GarisGiras @KangManto123 Apapun masalahnya yg disalahkan MBG baguslah mau vakaetomi biar gak benarak pinak banyak tp hak anak2 gak terpenuhi MBG ini kan jangka panjang bagus untuk anak2.juga gue dukung Lanjutkan MBG","1928601353955463614","","GarisGiras","in","","0","0","0","https://x.com/undefined/status/1928601353955463614","1725908723103858688",
"1928601341330424065","Fri May 30 23:56:06 +0000 2025","0","Dari sana mana ada segitu dan lagi menu MBG yang disediakan sudah sesuai dengan takaran gizi dari ahli gizi BGN. Lanjutkan MBG","1928601341330424065","","","in","","0","0","0","https://x.com/undefined/status/1928601341330424065","1896992749507018753",
"1928601254525043142","Fri May 30 23:55:45 +0000 2025","2","SDM rendah gak dapet MBG dan norak sekali warga Konoha ini..","1928601254525043142","","","in","","0","0","0","https://x.com/undefined/status/1928601254525043142","1135195284231688194",
"1928600824579498317","Fri May 30 23:54:02 +0000 2025","0","Apa aja salah Beliau hanya menjalankan program yg dukung anak-anak Indonesia tumbuh sehat. Lanjutkan MBG","1928600824579498317","","","in","","0","0","0","https://x.com/undefined/status/1928600824579498317","1896992749507018753",
"1928600756837327069","Fri May 30 23:53:50 +0000 2025","6","This approach could enhance the token's value over time. As MultiBank continues to innovate $MBG stands as a testament to the fusion of traditional finance and cutting-edge blockchain technology #MBG #Crypto #DeFi #Blockchain #FinanceRevolution #MultiBankGroup #riyadh","1928600773920764304","","jaghy_","en","","0","0","0","https://x.com/undefined/status/1928600773920764304","1548807408075636736",
"1928600756837327069","Fri May 30 23:53:49 +0000 2025","6"," Anticipation is building around $MBG's deflationary model which includes a planned buyback-and-burn strategy aiming to reduce the token supply by up to 50% #MBG #Crypto #DeFi #Blockchain #FinanceRevolution #MultiBankGroup #riyadh","1928600769487405096","","jaghy_","en","","0","1","0","https://x.com/undefined/status/1928600769487405096","1548807408075636736",
